"x","2000    ","          ","Previous Year                 ",-56.2,0
"x","01/02/01","          ","Transfer                      ",0,70
"x","01/02/01","          ","Deposit                       ",0,200
"x","01/02/01","1149      ","Pharmacy                      ",-11.24,0
"x","01/04/01","          ","Transfer                      ",-70,0
"x","01/03/01","          ","Shovel/Brady - Rent           ",0,0
"x","01/04/01","1150      ","School - MATC                 ",-100,0
"x","01/05/01","1151      ","Pick & Save                   ",-35.31,0
"x","01/05/01","1152      ","Pick & Save                   ",-27.36,0
"x","01/10/01","1224      ","                              ",-11.17,0
"x","01/18/01","1225      ","Pick & Save                   ",-17.29,0
"x","01/09/01","          ","Mannion                       ",-20,75
"x","01/22/01","          ","Christmas - Mannion           ",0,165
"x","01/29/01","          ","Mannion                       ",0,75
"x","01/31/01","1226      ","                              ",11.59,0
"x","02/05/01","          ","Mannion                       ",0,75
"x","02/06/01","1227      ","LaBou                         ",5.56,0
"x","02/06/01","1229      ","                              ",11.89,0
"x","02/06/01","1228      ","                              ",22.26,0
"x","02/15/01","          ","Mannion                       ",0,30
"x","02/08/01","1230      ","Rent                          ",250,0
"x","02/05/01","1231      ","                              ",11.59,0
"x","02/15/01","1232      ","                              ",13.08,0
"x","02/21/01","          ","Mannion                       ",25,75
"x","02/21/01","1153      ","LaBou                         ",4.98,0
"x","02/27/01","          ","Mannion                       ",0,75
"x","02/27/01","1154      ","                              ",16.83,0
"x","02/28/01","1155      ","                              ",11.55,0
"x","02/28/01","1156      ","Cash                          ",20,0
"x","03/02/01","          ","matc                          ",0,251.59
"x","03/02/01","1157      ","Brady Pharmacy                ",-19.19,0
"x","03/03/01","1158      ","Checker Auto                  ",15.87,0
"x","03/03/01","1159      ","Kohls                         ",10.85,0
"x","03/03/01","1160      ","Rent                          ",0,0
"x","03/03/01","          ","Transfer                      ",250,0
"x","03/06/01","          ","Mannion                       ",0,70
"x","03/05/01","1321      ","Walgreens                     ",17.31,0
"x","03/09/01","1322      ","Walgreens                     ",6.46,0
"x","03/10/01","          ","Transfer                      ",40,0
"x","03/09/01","          ","Mannion                       ",20,95
"x","03/13/01","1323      ","Pick & Save                   ",22.05,0
"x","03/14/01","1324      ","Office Depot                  ",55.41,0
"x","03/23/01","1325      ","City of Milwaukee             ",28,0
"x","        ","1326      ","VOID                          ",0,0
"x","03/15/01","1327      ","Brady Pharmacy                ",9.59,0
"x","03/20/01","1328      ","                              ",8.05,0
"x","03/20/01","          ","Mannion                       ",0,55
"x","03/27/01","          ","                              ",0,50
"x","03/27/01","1329      ","                              ",9.59,0
