"Pete Fountain       ","New Orleans, Tennessee                                          "
"Pete Fountain       ","Plenty of Pete                                                  "
"Wes Montgomery      ","The Best of Wes Montgomery                                      "
"Wes Montgomery      ","California Dreaming                                             "
"Wes Montgomery      ","Jimmy & Wes The Dynamic Duo                                     "
"Jimmy Smith         ","Jimmy & Wes The Dynamic Duo                                     "
"Wes Montgomery      ","A day in the life                                               "
"Jimmy Smith         ","The unpredictable Jimmy Smith                                   "
"Nena                ","Nena                                                            "
"Jimmy Smith         ","Got my mojo working                                             "
"Al Hirt             ","Swingin' Dixie! at Dan's Pier 600 in New Orleans                "
"Jimmy Smith         ","Swings along with stranger in paradise                          "
"Ramsey Lewis        ","Up Pops                                                         "
"Ramsey Lewis        ","Goin' Latin                                                     "
"Carole King         ","Tapestry                                                        "
"Al Hirt             ","Swingin' Dixieat Dan's Pier 600 in New Orleans Volume 2         "
