14,1,"Chianti Riserva Classico (Banfi)   ",7.5
13,1,"Chianti (Banfi)                    ",5.5
13,1,"Chianti (Banfi)                    ",5.5
14,1,"Chianti Riserva Classico (Banfi)   ",7.5
11,1,"Cabernet Sauvignon (Haywood)       ",5
13,1,"Chianti (Banfi)                    ",5.5
13,1,"Chianti (Banfi)                    ",5.5
13,1,"Chianti (Banfi)                    ",5.5
14,1,"Chianti Riserva Classico (Banfi)   ",7.5
15,1,"Pinot Noir (Indigo Hills)          ",5
18,1,"Zinfandel (Boeger Estate)          ",8
21,1,"Merlot (Lindemans Reserve)         ",7.5
20,1,"Merlot (Talus)                     ",5
19,1,"Petit Syrah (Foppiano)             ",10.95
13,1,"Chianti (Banfi)                    ",5.5
13,1,"Chianti (Banfi)                    ",5.5
13,1,"Chianti (Banfi)                    ",5.5
17,1,"Zinfandel (Zabacco Rancho)         ",6.5
20,1,"Merlot (Talus)                     ",5
21,1,"Merlot (Lindemans Reserve)         ",7.5
22,1,"Syrah (Gabrielli)                  ",7
15,1,"Pinot Noir (Indigo Hills)          ",5
14,1,"Chianti Riserva Classico (Banfi)   ",7.5
12,1,"Cabernet Sauvignon (Edgewood)      ",7.5
11,1,"Cabernet Sauvignon (Haywood)       ",5
10,1,"Cabernet Franc (Vigil) Napa        ",9.5
14,1,"Chianti Riserva Classico (Banfi)   ",7.5
15,1,"Pinot Noir (Indigo Hills)          ",5
16,1,"Pinot Noir (Monticello)            ",8.95
17,1,"Zinfandel (Zabacco Rancho)         ",6.5
18,1,"Zinfandel (Boeger Estate)          ",8
19,1,"Petit Syrah (Foppiano)             ",10.95
23,2,"White Zinfandel (Woodbridge)       ",4
10,1,"Cabernet Franc (Vigil) Napa        ",10
11,1,"Cabernet Sauvignon (Haywood)       ",5
12,1,"Cabernet Sauvignon (Edgewood)      ",8
14,1,"Chianti Riserva Classico (Banfi)   ",8
18,1,"Zinfandel (Boeger Estate)          ",8
22,1,"Syrah (Gabrielli)                  ",7
21,1,"Merlot (Lindemans Reserve)         ",8
19,1,"Petit Syrah (Foppiano)             ",11
18,1,"Zinfandel (Boeger Estate)          ",8
23,2,"White Zinfandel (Woodbridge)       ",4
24,2,"White Zinfandel (Berringer)        ",5
39,7,"Viognier (Kunde) Sonoma Valley     ",28
40,7,"Meritage (St. Supery)              ",30
41,7,"Chardonnay (Fontinelle)            ",27
42,7,"Chardonnay (Lindemans Bin 65)      ",18
43,7,"Chardonnay (Sebastiani)            ",21
44,7,"Chardonnay (Indigo Hills)          ",19
46,7,"Chardonnay Pinot Grigio (Le Rime)  ",19
47,7,"Pinot Grigio (Mezza Carona)        ",19
48,7,"Pinot Grigio (Sartori)             ",17
49,7,"Pinot Gris (Bridge View)           ",20
50,7,"Vouvray (Marc Brendif)             ",25
